Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Age,Credit_Score,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Purpose,Employment_Years,Debt_to_Income,Interest_Rate,Monthly_Payment,Loan_Status
LP00001,,Yes,1,Graduate,No,47,758,5086,4550,700,180,1,Urban,Education,11,24.43,3.45,4987.01,Y
LP00002,Female,Yes,3+,Graduate,No,24,725,3609,381,700,,1,Semiurban,Medical,7,29.56,3.5,4059.72,Y
LP00003,Female,Yes,0,Graduate,Yes,46,742,7507,1549,700,180,1,Urban,Education,9,21.86,6.47,6086.21,Y
LP00004,Male,No,0,Graduate,No,43,688,7625,517,700,360,1,Rural,Home Improvement,16,37.22,9.41,5840.07,Y
LP00005,Male,Yes,1,Not Graduate,No,36,797,8137,3265,700,120,1,Urban,Home Purchase,13,25.55,8.32,8611.76,Y
LP00006,Female,No,2,Graduate,No,36,723,12204,2965,700,180,1,Semiurban,Home Improvement,12,23.97,5.59,5753.07,N
LP00007,Female,No,0,Graduate,No,31,729,10115,1476,700,180,1,Urban,Education,3,15.04,4.44,5333.51,Y
LP00008,Male,Yes,1,Graduate,No,33,745,10419,2528,700,360,1,Rural,Education,0,23.59,8.31,5288.42,Y
LP00009,Male,Yes,1,Graduate,No,37,754,9174,1485,700,240,0,Urban,Home Improvement,2,14.92,4.05,4260.33,Y
LP00010,Male,Yes,1,Graduate,No,41,736,9507,0,700,120,1,Rural,Debt Consolidation,6,7.73,8.0,8492.93,Y
LP00011,Female,Yes,0,Graduate,No,34,708,7617,2526,700,180,1,,Home Purchase,7,24.38,4.51,5358.53,Y
LP00012,Female,Yes,0,Graduate,No,41,805,9030,2436,700,180,1,Rural,Debt Consolidation,13,17.28,7.26,6393.99,Y
LP00013,Female,Yes,3+,,No,53,650,5251,5509,700,240,0,Semiurban,Education,8,28.86,3.66,4117.51,Y
LP00014,Male,Yes,1,Graduate,No,26,699,7218,2273,700,360,1,Semiurban,Education,10,35.13,7.58,4932.9,N
LP00015,Male,Yes,3+,Graduate,No,45,759,7167,315,700,240,1,Semiurban,Medical,11,23.9,6.77,5330.87,Y
LP00016,Female,Yes,1,Graduate,No,42,699,4356,3966,700,180,1,Semiurban,Business,9,9.75,3.24,4915.28,Y
LP00017,Female,Yes,1,Graduate,No,41,651,6326,1048,700,120,1,,Business,5,20.92,5.69,7662.91,Y
LP00018,Male,No,1,Graduate,No,46,692,10185,1799,700,360,1,Semiurban,Medical,8,10.58,5.83,4120.65,Y
LP00019,Male,Yes,1,Not Graduate,Yes,29,749,7242,1476,700,180,1,Semiurban,Education,11,30.56,7.3,6409.79,Y
LP00020,Male,Yes,1,Graduate,Yes,32,769,9554,0,700,180,1,Urban,Vehicle,11,29.35,4.95,5517.34,Y
LP00021,Female,No,1,Graduate,No,38,760,6034,0,700,240,1,Urban,Business,9,22.97,8.81,6212.8,Y
