Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Age,Credit_Score,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Purpose,Employment_Years,Debt_to_Income,Interest_Rate,Monthly_Payment,Loan_Status
LP000001,Male,Yes,3+,Graduate,No,43,718,4942,0,146,360,1,Rural,Home Improvement,4,0.25,6.49,921.86,Y
LP000002,Female,Yes,3+,Graduate,No,39,478,3921,881,179,120,0,Urban,Home Purchase,10,0.28,10.66,2431.4,N
LP000003,Female,Yes,1,Graduate,No,27,694,2730,1514,45,360,1,Semiurban,Business,0,0.07,5.54,256.64,Y
LP000004,,No,1,Not Graduate,No,40,637,5902,1365,55,60,0,Semiurban,Medical,10,0.18,6.8,1083.88,N
LP000005,Female,Yes,1,Graduate,No,33,675,3431,0,107,120,1,Semiurban,Home Purchase,8,0.2,7.18,1252.31,N
LP000006,Male,Yes,0,Graduate,No,21,728,7559,938,60,180,0,Rural,Education,14,0.14,5.72,497.28,N
LP000007,Female,Yes,0,Not Graduate,No,50,780,6072,2918,45,240,1,Semiurban,Home Purchase,,0.44,3.5,260.98,N
LP000008,Male,No,2,Not Graduate,Yes,38,626,1987,0,151,360,1,Urban,Education,12,0.06,8.12,1120.64,Y
LP000009,Female,No,,Graduate,No,32,688,3101,1145,84,360,,Rural,Debt Consolidation,15,0.4,5.16,459.18,Y
LP000010,Male,Yes,2,Graduate,No,52,542,9076,0,189,240,1,Rural,Medical,10,0.18,8.41,1629.44,Y
LP000011,Male,No,3+,Graduate,Yes,26,718,1500,7614,,180,1,Rural,Business,5,0.24,7.38,,N
LP000012,Female,Yes,0,Graduate,No,37,657,1744,650,142,240,1,Rural,Medical,8,0.24,9.72,1344.09,N
LP000013,Male,Yes,3+,Graduate,No,36,595,2673,0,79,240,1,Urban,Home Purchase,4,0.12,8.39,680.09,Y
