Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Age,Credit_Score,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Purpose,Employment_Years,Debt_to_Income,Interest_Rate,Monthly_Payment,Loan_Status
LP10001,Male,No,1,Not Graduate,No,29,492,3803,1217,900,180,1,Semiurban,Vehicle,2,45.17,12.66,11186.58,Y
LP10002,Male,Yes,,Graduate,,21,553,3187,435,900,360,1,Rural,,3,36.15,18.54,13960.96,N
LP10003,Female,No,2,Graduate,No,27,444,3665,,900,360,1,Rural,Vehicle,1,72.33,13.81,10528.65,Y
LP10004,Male,No,3+,Not Graduate,Yes,21,480,2845,677,900,60,1,Semiurban,Business,5,,12.41,20206.97,N
LP10005,,No,2,Not Graduate,No,31,549,3112,1645,900,180,1,Semiurban,Vehicle,0,37.27,,14184.06,N
LP10006,Female,Yes,,Graduate,No,22,399,5350,,,360,1,Semiurban,Business,,48.08,9.3,7436.71,N
LP10007,Female,Yes,1,Not Graduate,Yes,32,468,1579,1724,900,180,0,Urban,Home Purchase,,33.87,9.44,9365.47,N
LP10008,Female,No,1,Not Graduate,Yes,44,406,3406,1218,900,360,0,Rural,Education,3,37.49,17.06,12874.92,Y
LP10009,Female,No,0,,Yes,30,383,1812,1444,900,120,0,Semiurban,Vehicle,1,66.08,9.9,11843.78,N
LP10010,,No,0,Graduate,No,22,536,1406,0,900,120,1,Rural,Debt Consolidation,3,28.32,9.38,11586.73,Y
LP10011,Male,No,3+,,No,,351,4772,0,,180,,Semiurban,Business,5,42.16,17.22,13991.61,Y
LP10012,Male,No,3+,Not Graduate,Yes,27,303,5089,2150,,360,1,Semiurban,Home Improvement,0,,13.31,10174.33,N
LP10013,Male,No,2,Not Graduate,Yes,,,1436,1165,900,360,0,Urban,Home Improvement,0,58.3,8.6,6984.11,N
LP10014,Female,No,3+,Not Graduate,Yes,21,,,0,900,240,1,Urban,Business,0,39.56,12.4,10161.89,N
LP10015,Female,No,,Not Graduate,No,31,532,2731,141,900,360,1,Rural,Business,2,44.48,10.01,7904.8,N
LP10016,Male,No,0,Not Graduate,No,38,521,4159,429,900,240,0,Rural,,0,61.36,16.51,12866.91,N
LP10017,Male,,2,Not Graduate,No,36,,3284,285,900,360,0,Semiurban,Medical,4,,21.79,16367.65,N
LP10018,,Yes,2,Graduate,No,26,476,3576,1707,900,,0,Urban,Vehicle,2,56.48,11.23,9430.98,N
LP10019,Male,Yes,0,Graduate,Yes,37,412,5788,,900,240,0,Semiurban,Business,3,32.49,12.33,10117.61,N
LP10020,Male,No,3+,Not Graduate,No,,525,3877,777,900,360,1,,Home Improvement,2,47.35,16.41,12400.81,N
